aifid,inscriptions
0069fa-al006-020-021_DS01,"ألسنة الثالثة فصل ثان. من اليمين. الصف لأول: فؤاد [...]، زكريا محمود عوض، محمود عبد الحميد، [...]، محمد زكي حسن، محمد سامي جابر، محمد يحيى إسماعيل، محمد بهجت عبدالحميد، محمد أبو القاسم. الصف الثاني: حلمي مسعود، [...]، إسماعيل محمود [...]، إكرام [...]، [...]، يحيى محمود صدقي، علي [...]، [...]، الصف الثالث: أحمد فؤاد علي عامر، [...]، [...]، محمد فريد غالب، [...]. [written with white ink on the cardboard]  
ثالثة ثان مارس ١٩٣٩ [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard] "
0069fa-al006-022-023_DS01," ألسنة الثالثة فصل ثان. من اليمين. الصف لأول:[...]، محمد إسماعيل محمد، محمد قناوي فارس، منير [...]، محمد شوقي عبدالله، [...]، عبد الجابر [...]، أحمد عاصمة إبراهيم عبدالله، [...] إسماعيل، [...]. الصف الثاني: عبدالسلام حسن محمد، [...] مخلوف، عبد الوهاب [...]، أحمد زكي حسين، [...]، محمد شريف فوزي، حسين محمود حسين، حليم خالد، [...]، محمد صبري أحمد، [...]. الصف الثالث: محمد [...]، فتحي توفيق [...]، أحمد علي حسن، [...]، محمد بهاء [...]، أنور [...]. [written in white ink on the cardboard] 
ثالثة ثالث مارس 1939 [signed on the negative]
  سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-024-025_DS01,"ألسنة الثالثة فصل رابع. من اليمين. الصف لأول: [...]، أحمد سيد علي، محمود أحمد حسن، [...]، [...]، رشدي اسكندر، يوسف محمد يوسف، عبد الهادي محمود كمال، محمد صابر رفعت، مجد عاطف فهمي. الصف الثاني: مدحت شبلي، أحمد جمال [...]، حسين عثمان، حسين عشيري، أحمد محمد علي، عبد القوة عبد الجواد، علي عثمان عبد الرحيم، فهمي برسوم، عبد السلام عبد العزيز، [...] كامل. الصف الثالث: عبد الهادي [...]، [...] فايز جرجس، إبراهيم [...]، منير [...]، [...]. [written in white ink on the cardboard] 
ثالثة رابع مارس 1939 [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard] "
0069fa-al006-026-027_DS01,"ألسنة الثالثة فصل خامس. من اليمين. الصف لأول: عزمي عياد، أحمد ممدوح عبد الرحمن، محمد محمد محمود مخلوف، فوزي أمير عبد الحليم، محمد محمود المرسي، محمود عبد السلام، [...]، محمد فتحي إسماعيل، فليب صابر، [...]. الصف الثاني: رشدي صبحي خليل، [...]، صفوت محمد عبدالله، [...]، فؤاد فهيم، محمد يونس، عبد الحميد [...]، مصطفى مختار، حسني محمود، عمر يونس ابوخليل، محمد إبراهيم عبدالله.  الصف الثالث: أحمد حمدي عبدالحميد، أنور يوسف مرسي، محمد عاطف هاشم، عبد المقصود عبد الحميد، إبراهيم علي إبراهيم، علي شيمي علي. [written in white ink on the cardboard] 
ثالثة خامس مارس 1939 [signed on the negative]
  سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-028-029_DS01,"ألسنة الثالثة فصل سادس. من اليمين. الصف لأول: محمد شكري محمد حسن، رضا هنا زكي، سلامة عبد سلام، كمال [...]، حيدر راشد [...] محمود محمد علي، سامي هيبه، يوسف سعدالله، جورج حبيب، محمد [...]، رفعت جرجس، يوسف ناصيف. الصف الثاني: رمزي يوسف، شبلي اسكندر، [...]، [...]، سيد محمد عبد العزيز، سعد زغلول عبد الفني، جمال [...] القشري، يوسف يعقوب، فتحي توفيق.  الصف الثالث: يحيى شاكر، سعد عبدالحليم، أحمد منير صالح، فهمي زكي [...]. فؤاد [...]، فؤاد وهبه، فوزي حلمي [...]، رجاء عبدالرؤق. [written in white ink on the cardboard] 
ثالثة سادس مارس 1939 [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-030-031_DS01,"ألسنة الثالثة فصل سابع. من اليمين. الصف لأول: جورج دانيال [...]، وجيه ناشد، عزت فخري، مصطفى حسين رشدي، عبد الحميد نيازي، محمد عبد الفتاح [...]، [...]، محمد فتحي عيسى، محمد زغلول عبد الحليم، [...]، وليم [...]. الصف الثاني: رشدي ناشد مقار، حسين محمود فارس، محمد [...]، أنور عزمي [...]، أحمد فؤاد خطاب، مصطفى إبراهيم [...]، عبدالحميد [...]، [...]، أحمد لطفي محمد.  الصف الثالث: عزت حنا عطية [...]، سيد إبراهيم عبدالله، علاء [...]، [...]، أحمد أبوزيد، [...]. [written in white ink on the cardboard] 
ثالثة سابع مارس 1939 [signed on the negative]  "
0069fa-al006-032-033_DS01,"ألسنة الثانية فصل أول. من اليمين. الصف لأول: علي رياض، صلاح [...]، أنور طلب، حسني توفيق سامي باخ، بهاء [...]، أحمد عبدالرحيم [...]، رفعت حنا [...]، [...]، محمود صلاح [...]، فكري علي أحمد، رشدي [...]، أحمد نور [...]. الصف الثاني: [...]، شروق نجيب، فتحي سيد علي، [...]، فايز عمر فايز، محمد عمر مصطفى، محمد جمال [...] عبد القادر، محمود محمد اسماعيل بدوي، [...]، عزت خليل، سعيد [...]، [...]. الصف الثالث: حسن صفوت إبراهيم، [...]، محمد محفوظ، إبراهيم فؤاد علي، لويس كامل، [...]، محمود عمر محمد، فؤاد نجيب، سعد عبد النور. [written with white ink on the cardboard]
ثانية أول مارس ١٩٣٩ [signed on the negative]"
0069fa-al006-034-035_DS01,"ألسنة الثانية فصل أول. من اليمين. الصف لأول: فؤاد حنا جرجس، فاروق محمد علي [...]، عثمان إبراهيم توفيق، محمد جلال [...]، مكرم باسيلي، يوسف محمد عيد، [...]، أحمد [...] مصطفى، أنور [...] عبدالله، حسين صادق عبد المنعم، حسن فتحي إبراهيم، عبد الصبور محمد السيد. الصف الثاني: أحمد [...]، اسماعيل عبد الرحمن مجدي، أحمد [...] أبوزيد، سعد سمير عنبر، محمد محمود لطفي، [...]، مورين زكي اندراوس، [...]، أحمد ماضي [...]، مصطفى كمال عبد الحميد، [...]، صلاح محمد فتحي عبد العزيز. الصف الثالث: صلاح أحمد [...]، [...]، فؤاد فريد [...]، محمد أحمد فارس، سيد حسن سيد، حسين سيد مصطفى، أحمد جلال [...]. [written with white ink on the cardboard]
ثانية ثان مارس ١٩٣٩ [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-036-037_DS01,"حوض النيل. [written with white ink on the cardboard] 
ألسنة الثانية فصل ثالث. من اليمين. الصف الأول: محمد حسني [...]، محمود حلمي أحمد اسماعيل، مصطفى عبد الحليم، أحمد حسن كامل، [...]، إبراهيم مخلوف، [...]، محمد كمال إبراهيم، [...]، فاروق عبدالحليم، [...]، أحمد كمال الشناوي، عبدالسلام حسن. الصف الثاني: وليم كامل، محمد رشاد [...]، محمد عبدو غانم، محمد فتحي علي، محمد ماضي عبدالوهاب، عبد الرؤف عبدالمجيد، يحيى [...]، محمود محمد توفيق، أحمد محمود السطحي، محمود عبدالحكيم أحمد، فتحي أحمد علي. الصف الثالث: وديع بدروس، لويس يوسف، محمد رمزي، لطفي نصيف جندي، محمد نجيب محمد السيد، محمد يونس أبو خليل، كمال يوسف [...]، محمود محمد [...]، [...]. [written with white ink on the cardboard]
 ثانية ثالث مارس ١٩٣٩ [signed on the negative]  "
0069fa-al006-038-039_DS01,"الجمعية الجغرافية، الاستاذ عبدالحكيم فهمي، الاستاذ عبدالعزيز لطفي ناظر المدرسة، الاستاذ محمد محمد هيبة [written with white ink on the cardboard] 
ألسنة الثانية فصل رابع. من اليمين، الصف الأول: رمسيس حنا، علي راكع أحمد، محمود رشاد طه، [...] حنا، أنور عزيز [...]، فريد عزت وهبه، [...]، صلاح [...]، سعد زغلول [...]، حلمي محمد عقيقي، إدوارد جميل، إبراهيم عياد سلام، صلاح رزقالله. الصف الثاني أنور ميخائيل [...]، محمد فخري [...]، عبد المنعم رياض الحكيم، محمود [...]، منير عرز، وليم داود، نسيم شاكر، محمد عصمت أحمد، يوسف عشيري، حلمي بولس صليب، صلاح [...]، [...]. الصف ثالث: كامل إبراهيم خليل، [...]، علي محمد سلطان، مجدي مخائيل، [...]، محمد صلاح [...]، ناصف صادق مرجان. [written with white ink on the cardboard]
 الثانية رابع مارس ١٩٣٩ [signed on the negative] "
0069fa-al006-040-041_DS01,"الجمعية الجغرافية. [written with white ink on the cardboard] 
ألسنة aloula فصل أول. من اليمين، الصف الأول: وليم يوسيف عزيز، سعد محمد قايد، [...] أنور عبدالعزيز، [...]، محمد نراوي، محمد عبدالرحيم فراج، مدوح محمود خاطر، نادر [...]، قرفت دانيال، ماهر حبيب، وهيب عزمي [...]. الصف الثاني: أحمد إبراهيم [...]، سامي زكي، فؤاد [...]، محمود مرسي [...]، [...]، [...]، مصطفى عزيز يوسف، [...] غالب، جمال بولس صليب، [...]. الصف ثالث: محمد إبراهيم حميده، خالد عبدالقوي المصري، محمد عثمان شادي، موريس حبيب، مصطفى كامل [...]، أنور عباس أحمد، [...].  [written with white ink on the cardboard]
 الأولى أول مارس ١٩٣٩ [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-042-043_DS01,"أشغال الحيزران [written with white ink on the cardboard] 
ألسنة الاولى فصل ثان. من اليمين، الصف الأول: [...]، ميشال حبيب، وليم [...] فرح، ممدوح [...]، أحمد فؤاد [...]، محمد جمال عبدالوهاب، عزيز حنا، ماهر فهمي، رضا [...]، [...]. الصف الثاني: [...] سعيد محمود، فؤاد جندي، صلاح [...]، كرم حسنيه، فؤاد [...]، محمد نور [...]، خلف علي حسن، محمد نصرالدين، [...]، فؤاد طه [...]، شكري حنا عطيه، [...]. الصف الثالث: [...]، [...]، محمد [...] عبدالظاهر، عاصمي ملك [...]، ظريف ناشد، مختار [...] مرقص، [...]. [written with white ink on the cardboard] الاولى ثان مارس ١٩٣٩ [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-044-045_DS01,"أشغال النجارة البسيطة والأركت [written with white ink on the cardboard]
ألسنة الاولى فصل ثالث. من اليمين، الصف الأول: مدوح عزت وهبه، جمال [...] محمد اسماعيل، [...]، محب صالح، مكرم داود، [...] رشاد، مصطفى [...]، محمد [...]، أنور عبد المعز، [...]، ميشال حنا، محمد محمود مصطفى. الصف الثاني:  [...]، عبدالله إبراهيم، سليم ميشال [...]، مصطفى [...]، [...]، صبحي مينا، [...] فهمي، محمد جمال [...]، أحمد [...]، صبحي محمود كمال [...]، شمس [...]، [...]، شوقي عبدالملاك. الصف الثالث:  [...]، اسماعيل حسن، محمد أحمد [...]، حكيم بطرس زابط، وليم حنا [...]، علي محمد علي، حامد عبدالعزيز، محمود حنفي يونس. [written with white ink on the cardboard]
 الاولى ثالث مارس ١٩٣٩ [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-046-047_DS01,"إطعام الفقراء من تبرعات التلاميذ لصندوق إحسان المدرسة، بمناسبة لزفاف لملكي الصعيد لأميرة فوزية [written with white ink on the cardboard]
إطعام التلاميذ الفقراء من جمعية المحافظ على القرأن الكريم من تبرعات التلاميذ لصندوق إحسان المدرسة، بمناسبة لزفاف لملكي الصعيد لأميرة فوزية [written with white ink on the cardboard]"
0069fa-al006-048-049_DS01,"معرض أشغال لأركت [written with white ink on the cardboard]
جمعية الخطابه [written with white ink on the cardboard]"
0069fa-al006-050-051_DS01,"جمعية التمثيل [written with white ink on the cardboard]
توديع حضرة صاحب السعاد محمد عوض إبراهيم باك وكيل وزارة المعارف العمومية [...] على رصيف محطات المينا بعد زيارته لبعض المدارس [written with white ink on the cardboard]"
0069fa-al006-052_DS01,
0069fa-al007-001_DS01,مدرسة المينا الابتدائية الأمرية، للبنين، ١٩٣٩-١٩٤٠ [written with white ink on the cover]
0069fa-al007-002-003_DS01,الاستاذ عبدالعزيز لطفي ناظر المدرسة [written with white ink on the cardboard] سليمان عقل [...] [stamped on the cardboard]
0069fa-al007-004-005_DS01,حضرات ناظر وموظفي المدرسة  [written with white ink on the cardboard] 
0069fa-al007-006-007_DS01,"ألسنة الرابعة فصل أول. من اليمين: الصف الأول: يوسف صلاح [...]، وليم جرجس، مجاهد عبدالله، خالد إبراهيم بكر، محمد إبراهيم شاهين، محمد محمد شلبي، عبدالسلام [...]، محمد يحيى إسماعيل، حسن حلمي زاهر، محمد محمود المرسي. الصف الثاني: شاكر [...]، فاروق الصفير، أحمد لطفي عبدألفطيم، علي محمد عيد، ماضي عبد الحميد، عبدالحميد [...]، [...]، مصطفى مختار، فوزي [...]، مصطفى عبدالحميد، [...]، محمود عبدالسلام. [written with white ink on the cardboard] 
رابعة أول، مارس ١٩٤٠ [signed on the negative] "
0069fa-al007-008-009_DS01,
0069fa-al007-008-009_DS02, سليمان عقل [...] [stamped on the cardboard]
0069fa-al007-010-011_DS01,"ألسنة الرابعة فصل ثان. من اليمين: الصف الأول: إبراهيم [...]، فريد لوقا، مدحت شلبي، [...] حلمي أحمد، نجيب الجبالي، [حسين حسن عيادة]، [حسين] محمود فوزي، صفوت محمد عبدالله، سمير مصطفى الطويل، عمر يوسف، [...] أحمد حاتم، محمد محمد [...]، محمد فريد غالب. الصف الثاني: فؤاد علي السبيع، أنور يوسف، محمد زكي حضن، يوسف [...]، [...]، محمد كمال عبد العزيز، محي الدين محمد، حسني محمود، محمد عبدالوهاب عمار. [written with white ink on the cardboard] 
رابعة ثان، مارس ١٩٤٠ [signed on the negative] "
0069fa-al007-012-013_DS01,"ألسنة الرابعة فصل ثالث. من اليمين: الصف الأول: رفعت جرجس، يوسف سعدالله، فتحي إسماعيل، عزت فخري، سمير مهاور، عدلي عزيز، رشدي صبحي، يحيى صدقي، فليب صابر، عبدالله ناشد، محمد [...]. الصف الثاني: زكريا عوص، فؤاد [فهيم]، محمد عاطف سيد [...]، أحمد كامل، محمد سالم، أحمد الشريف، عزيز فهمي، إبراهيم علي، محمد [عبدالرازق] [written with white ink on the cardboard] 
رابعة ثالث، مارس ١٩٤٠ [signed on the negative]
  سليمان عقل [...] [stamped on the cardboard]"
0069fa-al007-014-015_DS01,"ألسنة الرابعة فصل رابع. من اليمين: الصف الأول: أحمد محمود البدري، محمد أحمد مرزوق، [...]، جميل [...]، حسين محمود حسين، مصطفى دكروري، [...]، بشرى [...]، لويس ناصيف، نسيم فؤاد، إبراهيم حسن خليل. الصف الثاني: محمد [...] عبدالوهاب، أنور عزمي، عبلهدي محمود كمال، [...]، رفعت صادق، [...]، عبلعل علي عوض، محمود كامل حسن، حسين محمود فارس، محمد عبد المنعم. [written with white ink on the cardboard] 
رابعة رابع، مارس ١٩٤٠ [signed on the negative]
  سليمان عقل [...] [stamped on the cardboard]"
0069fa-al007-016-017_DS01,"ألسنة الرابعة فصل رابع. من اليمين: الصف الأول: اكرام عبده، كمال [...]، أنور فهيم، [...] سامي شرف، حليم خالد، محمد إبراهيم دكروري، [...] كامل، محمد محمود علي، قهيم [...]، محمد صبري. الصف الثاني: جمال [...] القشيري، طه حامد، أحمد عصمت خلف، أحمد السيد علي خليل، محمود أحمد حسن، فؤاد زغلول، عبدالقوي عبدالجواد، حسين القشيري محمد، حنا [...]، محمود عبدالحسين. [written with white ink on the cardboard] 
رابعة خامس، مارس ١٩٤٠ [signed on the negative] "
0069fa-al007-018-019_DS01,"ألسنة الرابعة فصل سادس. من اليمين: الصف الأول: محمد أحمد خميس، محمد شكري محمد حسن، فايز جرجس، سعد عبدالحليم، فاروق أحمد القاضي، أحمد جمال [...]، محمد أمير عمار، داود [...] جرجس، جمال حافظ صالح، أحمد ممدوح عبدالرحمن. الصف الثاني: [...] عبدالرحيم، محمد سامي جابر، أحمد محمد علي، علي عثمان عبدالرحيم، يوسف محمد يوسف، محمد عبدالخالق توفيق، سعد زغلول عبد الفني، أحمد محمد اسماعيل، أحمد أبو زير. [written with white ink on the cardboard] 
رابعة سادس مارس ١٩٤٠ [signed on the negative]"
0069fa-al007-020-021_DS01,"ألسنة الثالثة فصل أول. من اليمين: الصف الأول: حلمي مسعود [...]، رضا حنا زكي، جورج دانيال [...]، [...]، حسين محمد حامد، [...]، [...]، [...]، عزت حنا، [...]. الصف الثاني: [...]، علي شيمي علي، مهم قناوي فارس، عبد الحميد أحمد [...]، محمد شوقي عبدالله، [...]، [...]، [...]، اسكندر صادق، سيد إبراهيم عبدالله. [written with white ink on the cardboard] 
ثالثة أول مارس ١٩٤٠ [signed on the negative]"
0069fa-al007-022-023_DS01,"ألسنة الثالثة فصل ثان. من اليمين: الصف الأول: فتحي عيسى عرابي، فتحي توفيق الطويل، محمد عبدالفتاح [...]، مصطفى حسين رشدي، فهمي زكي علي، [...] مخلوف، فؤاد [...]، فؤاد [...]، محمد زغلول عبدالحليم، عبد الرحيم عبدالله، [...]. الصف الثاني: عمر يونس أبو خليل، ناصيف سلام، مصطفى إبراهيم [...]، [...]، منير [...]، أحمد توفيق حسن، [...]، فتحي توفيق عبدالله، عبد السلام [...]. [written with white ink on the cardboard] 
ثالثة ثانية مارس ١٩٤٠ [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al007-024-025_DS01,"ألسنة الثالثة فصل ثالث. من اليمين: الصف الأول: ممدوح عبدالوهاب، وليم رياض، فاروق الصعيد [...]، [...]، يوسف محمد عيد، مكرم باسيلي ميخائيل، محمد أحمد فارس، أنور [...]، أحمد كمال محمد الشناوي، كامل إبراهيم خليل، أحمد عبدالرحيم أبو بكر. الصف الثاني: [...]، [...]، حلمي بولس، يوسف يعقوب، رجاء عبدلرؤق، يوسف عشيري محمد، أحمد زكي حسين، علي محمد جمال [...]، سمير صبري، محمد فخري [...]. [written with white ink on the cardboard] 
ثالثة ثالث مارس ١٩٤٠ [signed on the negative] "
0069fa-al007-026-027_DS01,"ألسنة الثالثة فصل رابع. من اليمين: الصف الأول: صلاح رزق [...]، أحمد حسن كامل، صلاح [...]، أنور ميخائيل [...]، علي عبد العزيز السيد، مها [....]، [...]، محمد فتحي [...]، فكري علي أحمد ، علي [...] أحمد، أحمد طلعت مصطفى. الصف الثاني: رجاء شبلي يوسف، أحمد [...]، أنور طلب إبراهيم، رمسيس حنا خليل، سعيد [...]، محمد [...]، [...]، مصطفى كمال عبدلحميد، [...]، فؤاد صمويل مرقص. [written with white ink on the cardboard] 
ثالثة رابع مارس ١٩٤٠ [signed on the negative]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al007-028-029_DS01,"ألسنة الثالثة فصل خامس. من اليمين: الصف الأول: عيد الصبور محمد السيد، إبراهيم [...] سلام، ناصيف حنا، كمال [...] محمد يوسف، جلال عبدالعزيز انسى، سمير خليل، فؤاد علم، فوزي عزت وهبي، زغلول أحمد، طلعت عزيز، رشدي [...].  الصف الثاني: يحيى سنوسي، عبد الرأوك عبدالحميد، وليم كامل، محمود يونس أن خليل، محمد عمر مصطفى، [...]، [...]، إبراهيم فؤاد علي، محمد ماضي عبدلوهاب، محمد فتحي علي. [written with white ink on the cardboard] 
ثالثة خامس مارس ١٩٤٠ [signed on the negative]"
0069fa-al007-030-031_DS01,"ألسنة الثالثة فصل سادس. من اليمين: الصف الأول: حسين صادق عبدالمنعم، محمد حسني محمد، محمد كمال إبراهيم [...]، محب رمزي، محمد نجيب محمد، سعد حسني مخلوف، حسين صفوت إبراهيم، [...]، محمود [...]، ناصف [...]، محمد جلال شاهين.  الصف الثاني: [...]، محمود عمر محمد، علي [...]، [...]، أحمد مصطفى [...]، جمال [...]، فؤاد نجيب [...]، محمود عبدالحكيم أحمد، محمد عصمت أحمد، محمود [...]  [written with white ink on the cardboard] 
ثالثة سادس مارس ١٩٤٠ [signed on the negative] "
0069fa-al007-032-033_DS01,"ألسنة الثالثة فصل سابع. من اليمين: الصف الأول: مصطفى محمد عبدالعليم، فاروق عبدالحليم حلمي، لطفي ناصيف، رفعت حنا [...]، صلاح [...]، صلاح محمد فتحي عبدالعزيز، حسين أحمد صيد، حسني فتحي إبراهيم، فاروق محمد علي الراعي، ادوارد جميل، جلال محمد [...]. الصف الثاني: أحمد ماضي [...]، محمد رشاد لطويل، محمد شكري عبدالكريم، لويس كامل [...]، فتحي أحمد علي، محمود محمد فوزي، اسماعيل صبري محمد، قائد عمر حسين، فتحي سيد علي، شوقي فؤ [...]. [written with white ink on the cardboard] 
ثالثة سابع مارس ١٩٤٠ [signed on the negative]"
0069fa-al007-034-035_DS01,"ألسنة الثانية فصل أول. من اليمين: الصف الأول: محمود حلمي محمد إسماعيل، عبدالمنعم خيرت، طلعت محمد السيد، سيد محمد [...]، [...] إبراهيم توفيق، صلاح حنا زكي، سعد عبدلنور سعد، محمد علي كامل، جمال بولص، محمد إبراهيم [...]، أحمد نور [...] عبدالعزيز، فؤاد جندي. الصف الثاني: ثروت نجيب يوسف، محمد محفوظ،محمد عبده غانم، أنور عباس أحمد، محمود محمد اسماعيل بدوي، [...]، [...]، كمال يوسف، وليم داود، محمود [...]، محمود توفيق. [written with white ink on the cardboard] 
ثانية أول مارس ١٩٤٠ [written with blue ink on the verso]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al007-036-037_DS01,"ألسنة الثانية فصل ثان. من اليمين: الصف الأول: رضا بشاي، الصعيد أنور عبدالعزيز، صبحي ناشد، إبراهيم [...]، خلف علي حسن، سعد محمد قايد، عزة شلبي، فؤاد طه عثمان، كرم [...]، [...]، يوسف كمال فوزي، محمد نصرالدين عبد القادر، مدوح عزيز [...]. الصف الثاني: محب صالح عبدالسيد، فؤاد محط، عبدالحميد [...]، طه محمد مصطفى، عبدالله غالب، أحمد إبراهيم طراف، خالد عبدالقوي المصري، مصطفى كامل [...]، مختار [...] مرقص، [...]، [...]، فاروق محمود [...]. [written with white ink on the cardboard] 
ثانية ثان مارس ١٩٤٠ [signed on the negative] "
0069fa-al007-038-039_DS01,"ألسنة الثانية فصل ثالث. من اليمين: الصف الأول: وهيب عزمي، ميشيل حبيب، ارنست دانيال، صبحي [...]، ممدوح عزت، عزيز حنا، صبحي مينا، ماهر حبيب، مصطفى طلعت، ممدوح محمود خاطر، [...]، محمد نور [...]، مصطفى محمد علي.  الصف الثاني: ميشيل حنا، محمد جمال [...]، محمود مرسي، شوقي حبيب، [...]، محمود حنفي، علي محمد علي، موريس حبيب، عادل [...]، مصطفى [...]، شكري حنا. [written with white ink on the cardboard] 
ثانية ثالث مارس ١٩٤٠ [signed on the negative]"
0069fa-al007-040-041_DS01,"ألسنة الثانية فصل رابع. من اليمين: الصف الأول: وليم [...]، [...]، [...]، مؤد إبراهيم قلادة، نادر [...]، حسن شاهين، عبدالقادر الجوهري، فؤاد [...]، فتحي أنيس، حافظ صالح، أحمد أحمد فارس، محمد فؤاد عبد النواب، أنور عبدالفني، إبراهيم الجوهري، سميح [...].  الصف الثاني: محمد محمود مصطفى، [...]، شوقي عبدالملك، [...]، أحمد عبدلرؤق صبري، أحمد محمد عبدالعال، حامد عبد العزيز، صمويل عياد حنا، حسن عفيفي، جابر محمد، انسى فهمي، عاطف عبدالجواد. [written with white ink on the cardboard] 
ثانية رابع مارس ١٩٤٠ [signed on the negative]"
0069fa-al007-042-043_DS01,"إطعام فقراء مدينة لمينا إبتهاجا بعيد الميلاد الملكي السعيد.  [written with white ink on the cardboard] 
ألسنة الأولى فصل أول. من اليمين: علي يحيى [...]، يوسف [...]، محمد عبدالمنعم فريد، [...]، محمد جمال [...]، حسين أحمد حسين، صلاح [...]، مكرم داود، محمد أحمد حامد. الصف الثاني: [...]، صبحي محمود، [...]، وليم حنا، محمد [...]، حكيم بطرس [...]، يحيى [...] علي، حسن رياض جابر. [written with white ink on the cardboard] "
0069fa-al007-044-045_DS01,"الكسوة لتي قدمتها المدرسة التلاميذ المدارس الألزامية لفقراء إبتهاجا بعيد الميلاد الملكي السعيد  [written with white ink on the cardboard] 
ألسنة الأولى فصل ثان. من اليمين: علي عبدالعزيز، مصطفى عبدالحليم، أحمد عبدلحكيم، فؤاد ماضي، كريم ارمانيوس، يحيى شفيق [...]، سمير فهيم، عادل زكي، ممدوح عبدالملك. الصف الثاني: [...]، صمويل جرجس، سمير محمد عفت، علي محمود [...]، خيري [...]، محمد عمرو اسماعيل، فيصل [...]، [...]، [...]، هشام عبدلعزيز. [written with white ink on the cardboard] "
0069fa-al007-046-047_DS01,"تلاميذ المدارس الألزامية للفقراء بعد ارتدائهم الكسوة لتي قدمتها لهم المدرسة إبتهاجا بعيد الميلاد الملكي السعيد  [written with white ink on the cardboard]
ألسنة الأولى فصل ثالث. من اليمين: محمد عبد العزيز [...]، حسن فراج، [...]، محمد [...] محمود، عبدالرحمن عبدالقادر، عادل وصفي [...]، [...]، [...]، طلعت السيد.  الصف الثاني: محمد مكرم، مصطفى فوزي، جمال [...]، أرثر فايس، محمد صفوت [...]، روولف فايس، اسماعيل محمد اسماعيل. [written with white ink on the cardboard] "
0069fa-al007-048-049_DS01,"فقيرات وفقراء مدينة المينا في إنتظار ما أعد لهم من لطعام  إبتهاجاً بعيد الميلاد الملكي السعيد.  [written with white ink on the cardboard]
فقراء مدينة المينا في إنتظار ما أعد لهم من لطعام  إبتهاجاً بعيد الميلاد الملكي السعيد.  [written with white ink on the cardboard]"
0069fa-al007-050-051_DS01,"تلاميذ المدارس لإلزامية لفقراء يأخذون ما اعادت المدرسة لهم [...] إبتهاجاً بعيد الميلاد الملكي السعيد.  [written with white ink on the cardboard]
نموذج مبنى المدرسة  [written with white ink on the cardboard]"
0069fa-al007-052_DS01,
0069fa-al008-001_DS01,"ISTANBUL.GÖKSU, CAKIR"
0069fa-al008-002-003_DS01,
0069fa-al008-004-005_DS01,
0069fa-al008-004-005_DS02,
0069fa-al008-006-007_DS01,
0069fa-al008-006-007_DS02,
0069fa-al008-008-009_DS01,
0069fa-al008-008-009_DS02,
0069fa-al008-010-011_DS01,
0069fa-al008-010-011_DS02,
0069fa-al008-012-013_DS01,
0069fa-al008-012-013_DS02,
0069fa-al008-014-015_DS01,
0069fa-al008-014-015_DS02,
0069fa-al008-016-017_DS01,
0069fa-al008-016-017_DS02,
0069fa-al008-018-019_DS01,
0069fa-al008-018-019_DS02,
0069fa-al008-020-021_DS01,
0069fa-al008-020-021_DS02,
0069fa-al008-022-023_DS01,
0069fa-al008-022-023_DS02,
0069fa-al008-024-025_DS01,
0069fa-al008-024-025_DS02,
0069fa-al008-026-027_DS01,
0069fa-al008-026-027_DS02,
0069fa-al008-028-029_DS01,
0069fa-al008-028-029_DS02,
0069fa-al008-030-031_DS01,
0069fa-al008-030-031_DS02,
0069fa-al008-032-033_DS01,
0069fa-al008-032-033_DS02,
0069fa-al008-034-035_DS01,
0069fa-al008-034-035_DS02,
0069fa-al008-036-037_DS01,
0069fa-al008-036-037_DS02,
0069fa-al008-038-039_DS01,
0069fa-al008-038-039_DS02,
0069fa-al008-040-041_DS01,
0069fa-al008-040-041_DS02,
0069fa-al008-042-043_DS01,
0069fa-al008-044_DS01,
0069fa-al009-001_DS01,
0069fa-al009-002-003_DS01,
0069fa-al009-004-005_DS01,
0069fa-al009-006-007_DS01,
0069fa-al009-008-009_DS01,
0069fa-al009-010-011_DS01,
0069fa-al009-012-013_DS01,
0069fa-al009-014-015_DS01,
0069fa-al009-016-017_DS01,
0069fa-al009-018-019_DS01,
0069fa-al009-020-021_DS01,
0069fa-al009-022-023_DS01,
0069fa-al009-024-025_DS01,
0069fa-al009-026-027_DS01,
0069fa-al009-028_DS01,
0069fa-al010-001_DS01,
0069fa-al010-002-003_DS01,Studio Fouad [printed on the negative]
0069fa-al010-004-005_DS01,
0069fa-al010-004-005_DS02,
0069fa-al010-006-007_DS01,
0069fa-al010-006-007_DS02,"Dans la salle à manger [written with blue ink on the verso]
PHOTO ANDRE AUG 3 BELFORT [stamped on the verso]"
0069fa-al010-008-009_DS01,"Kchouhfi, Homs [embossed stamp] "
0069fa-al010-008-009_DS02,
